"Run.ID","P0.Regret.GN","P1.Regret.GN","P2.Regret.GN","P3.Regret.GN"
243,0,0.00125693470334107,0.0124717966554185,0.0177688386635298
244,0,0.00129502067187865,0.00872627329109255,0.00950977020977944
245,0,0.000921867340393134,0.00656613704044341,0.00547869816852102
246,0,0.00150467712516286,0.00842288789678676,0.00596345247290538
247,0.0151730264291385,0.00557988541375053,0.000615505738750209,0
248,0.00275571785486938,0.00307901836583344,0.00149095282268296,0
249,0.00445079220555615,0.00727933717876519,0.00109209299432528,0
250,0,0.000744401313501678,0.00195045735658908,0.000854739532880315
251,0,0.000989288975015531,0.0108675862074941,0.0249575864782482
252,0.0134060823018393,0.0108081724193564,0.00133156874525465,0
253,0,0.000879802748167582,0.0057018489264218,0.0100728872177264
254,0.00208389991423848,0.00511554626690973,0.00112257368506574,0
255,0.0039305498401602,0.0060103249016583,0.00177297718020384,0
256,0.00068677813130355,0.00291149988224289,0.0010981156836836,0
257,0.00249727577018555,0.00362113002155623,0.00301729322639451,0
258,0,0.000904102582074882,0.006553600417894,0.00852026268662864
259,0,0.00117695530105864,0.00289841121232095,0.00164241624086413
260,0,0.00105490914344393,0.00940421997106955,0.0185451059378509
261,0.00039291989647691,0.000987253373047075,0.00181779832383593,0
262,0,0.00144095798854354,0.0115811205821228,0.0106634489376243
263,0,0.00193339566677282,0.00868465470125265,0.00745022215629515
264,0,0.00100129471060848,0.00794202913014322,0.0159943615841783
265,0.00827862756506537,0.00907413535146937,0.00234752992515416,0
266,0,0.00111044764545752,0.00942836487234785,0.0175568204329345
267,0.00118046437167775,0.00190256264032723,0.00126958825151309,0
268,0,0.000790926836686332,0.00510198212435708,0.00760983511726996
269,0,0.00073971660561116,0.00473321029280208,0.0086688986671384
270,0,0.000994781797624723,0.00804153869454049,0.0142925879616354
271,0,0.000772245395370099,0.00485817101480258,0.00834290832154472
272,0,0.000335149403741962,0.00160842108410317,0.00246557810116577
273,0.00890542906272564,0.0135946629671125,0.00083509785182094,0
274,0,0.000705319377263921,0.00456428036815211,0.00816894427071124
275,0.00526028530333137,0.00528543727871139,0.00142666308019453,0
276,0,0.00105691391570801,0.00716305435604184,0.0085813339795275
277,0.0126765265880983,0.0108172669337735,0.00212855225379763,0
278,0,0.0012025093818689,0.00581819990633416,0.0031802472999069
279,0.00629675888346325,0.00712947000067028,0.000697918267074181,0
280,0.00802100843736421,0.0111901615289394,0.000736891893752162,0
281,0,0.00090385785018496,0.00328600712592034,0.000865766500632999
282,0,0.000920951669739009,0.00505981978157554,0.00691956639916278
283,0,0.000808867989231923,0.00423579487650324,0.0052925915216538
284,0.0129963898723005,0.0122078861816398,0.0021951865471695,0
285,0,0.0014414549392359,0.0142589628387143,0.0164875277249052
286,0.00740517946789274,0.00915513513102931,0.00222173846487425,0
287,0,0.00136969275221451,0.00315280331870189,0.00144427236469898
288,0,0.000221696336070913,0.000939939628833666,0.0012373364959948
289,0,0.00102147380853234,0.00763029298260385,0.0131177935892814
290,0.00122820301853364,0.00221745148408454,0.00109709647361326,0
291,0.0156039136194696,0.00688389548298658,0.000865463599786113,0
292,0,0.000894840157911235,0.00429330436786177,0.00538496755107719
293,0,0.000730548560624919,0.00467953709944093,0.00917863168589136
294,0,0.0011229030965461,0.00852792224865241,0.0142588598176862
295,0,0.000612535955203723,0.00352012648135244,0.00626708822188973
296,0,0.00112089240291438,0.00803392223083189,0.0139260589876659
297,0.0144217052469362,0.00697254338185225,0.000692037350482504,0
298,0,0.00137078582798826,0.0201930371805463,0.0259130587142758
299,0,0.00111420327229001,0.00710046418202039,0.00733521741873285
300,0.0157174685583645,0.00687813506906512,0.000905618883438757,0
301,0,0.00095324866234699,0.00323754300795947,0.00231462428034363
302,0.0122272434526718,0.00624249536724739,0.000570583502179443,0
303,0.00384291901552228,0.0046073507992302,0.00310812574839302,0
304,0,0.00177568205174156,0.0187891612406694,0.0176386109437738
305,0,0.00141894141904158,0.00753487301470679,0.0064181422326222
306,0,0.00100451118474915,0.00545029378469965,0.00603975779287445
307,0,0.00149161223126657,0.00531082333311912,0.00333805606850732
308,0.00753358020580823,0.00941213981069473,0.00213856001868191,0
309,0,0.001965492632472,0.00987872050672332,0.00876501744811706
310,0,0.0041024953504787,0.00180233249077928,0.00123868078033146
311,0,0.00107396526195931,0.0100740610788942,0.00973871816461241
312,0.00682835339394814,0.00983152723285461,0.000806300115322522,0
313,0.00268051455795407,0.00423184231633629,0.00200262794154625,0
314,0,0.00130432949550231,0.00836051020661385,0.00631506016017195
315,0,0.00149372050349875,0.010741372741097,0.0084149507702246
316,0,0.000929766579903641,0.00438387676311878,0.00408637001154636
317,0,0.00115868534860055,0.00911657455883211,0.0153962194210552
318,0,0.00150555649547647,0.0136191752284034,0.0115679635138478
319,0.00391588939068907,0.00511822511022334,0.00202380015522201,0
320,0,0.00130770257560354,0.00964053168964896,0.00750271152244197
321,0,0.000721927398221004,0.003351386150123,0.00400946389606371
322,0,0.000935990513177963,0.00762398273054066,0.0143877641771927
323,0,0.00145610115027968,0.0159844836649882,0.0140629721550657
324,0.0162596983045835,0.00732090975939297,0.000709451732549094,0
325,0.0126289777729083,0.00675404108576188,0.0011893756437762,0
326,0,0.00129716062121064,0.0114869799315204,0.00996780877144524
327,0.0112142435159928,0.010769221994215,0.00285085670888782,0
328,0.0132742540023311,0.00821048360674142,0.00115308629897434,0
329,0,0.0013471627980242,0.00979412846146719,0.00638370146629519
330,0,0.00170054690454755,0.00612530077419173,0.00447064010818203
331,0.0127459538487495,0.0102552651487023,0.00191532267365804,0
332,0,0.00115035712370038,0.0125698319319547,0.0194453147134984
333,0,0.0030199777750807,0.00442415685881049,0.00370494435285722
334,0.00693237441945676,0.00788656424185067,0.00415213258412575,0
335,0,0.00169137344020088,0.0175517113408516,0.0160502803189649
336,0,0.00103614248953831,0.0092166545611591,0.0178411915043325
337,0.00258418958127687,0.00334175639673172,0.00151558474386203,0
338,0,0.000615708591311447,0.00339737429415771,0.00536135197641591
339,0,0.00120428212470132,0.00832077118548673,0.00827721297302852
340,0.000835178620833571,0.00331008313238651,0.00140668768924486,0
341,0,0.00202847140568354,0.00206561054670452,0.000976774416444946
342,0,0.00158797972939378,0.00398357204575622,0.00223881694616361
343,0,0.000804879215052023,0.00400329890573142,0.00464335212813232
344,0,0.0020877201699767,0.00499585683780065,0.00407687765047187
345,0.0105174908550264,0.0125157732596868,0.00176810975387021,0
346,0.0118126695358811,0.00565228760007155,0.000537406832461652,0
347,0.00843959904032718,0.00937527278830324,0.00150631412441722,0
348,0,0.000964088025501682,0.00606754473200993,0.00922775974604148
349,0,0.00120892965230071,0.00859754385234771,0.012194707955487
350,0.0129275136550935,0.00478224333469034,0.00050224158319067,0
351,0,0.00112861174386768,0.0125048734918965,0.0126968960551606
352,0.00371960794201599,0.00619628728680566,0.00102527977430141,0
353,0,0.00182753052868695,0.00585321391646596,0.00443029677455458
354,0,0.000531797550707864,0.00187285111661201,0.00163769065918052
355,0.00437947240521423,0.00731019297181097,0.00130942577729595,0
356,0.00103891546423575,0.00230945792463429,0.00284592751840094,0
357,3.00884969392581e-05,0.000711565240281558,0.00164792884568591,0
358,0,0.000839017027041568,0.00528689433363719,0.00863188845485676
359,0,0.00149810284222964,0.0141136513008187,0.0117556298554299
360,0,0.00115465088845064,0.00967797831954757,0.0172465795223806
361,0,0.00116479416831838,0.0104653871774978,0.0196483894844213
362,0,0.00137435695728385,0.0047049068659268,0.00296523902322592
363,0,0.00181232095181131,0.00302706982027531,0.00153635624698449
364,0,0.000621084745302524,0.00269299506989222,0.0028596324873224
365,0,0.00220897831481668,0.00381563322305732,0.00224923955182248
366,0,0.00179374772438596,0.0107043945770975,0.00931556718242344
367,0,0.000917923710460213,0.00706538434612887,0.0132202925608003
368,0,0.00207049801367508,0.0149252058019701,0.0138667664216547
369,0.00849650228155692,0.00413436451993443,0.000401266137777342,0
370,0,0.00205619203954194,0.00528641390683869,0.00360525528049737
371,0,0.00104090312453761,0.00603457647928331,0.00635759818851983
372,0,0.000651404692850044,0.00336109979257606,0.00515339787936694
373,0,0.0010090863346402,0.00697356057232106,0.0115162670726309
374,0,0.00176395399902332,0.00688720174305705,0.0052581541970526
375,0,0.000707457729526868,0.00442499636907896,0.00619859174982744
376,0,0.000762628985961449,0.0043672727888325,0.00721353943515886
377,0,0.000754020685522289,0.00480329006370343,0.00899410361605543
378,0.00843976512149544,0.0118477839762182,0.00103845098651127,0
379,0,0.000866559957106858,0.00686724176752715,0.0133312430833632
380,0,0.00111313769729857,0.00920187669463412,0.0163300021926835
381,0,0.00200303469918679,0.00378724745470159,0.00224438849442727
382,0.000621432687610529,0.0028259874585047,0.00128043535254066,0
383,0,0.00171427648833271,0.0159396683142666,0.0143373882491592
384,0,0.000739201421060043,0.00412074166837946,0.00668052046075409
385,0.00149918074230177,0.00352364597288364,0.00222058964522536,0
386,0.0140408180555795,0.00681313352733679,0.000578514868894573,0
387,0,0.00102794914903139,0.00237202391271542,0.000645915602469084
388,0,0.00159211679595401,0.00881448519809342,0.00753429058565177
389,0.010898927053204,0.0060591156883257,0.000704863906260157,0
390,0.0120159015476391,0.00764551301115217,0.00118384279890293,0
391,0,0.000911750337585691,0.00739628891829255,0.0149051023743802
392,0,0.00138998100892626,0.00336969885987768,0.00137477756787004
393,0.00503421237800388,0.00695410105845348,0.00152825732331272,0
394,0,0.000888656697628228,0.0068108186671678,0.0131794353830424
395,0,0.000977526848886082,0.00621285704655157,0.00832102028549176
396,0.00673064688271671,0.0064255190392679,0.00254782344711087,0
397,0.00200719021214924,0.00480240374985649,0.000974242788454215,0
398,0.00106667167808053,0.00164146336925007,0.00287920832372993,0
399,0.0029442446587624,0.00533262499682662,0.00145457926840327,0
400,0,0.00236487284543554,0.0126533536432333,0.0117539725446885
401,0,0.000938482113265329,0.00666684028999754,0.00995546676486195
