"Run.ID","P0.Regret.DT","P1.Regret.DT","P2.Regret.DT","P3.Regret.DT"
1,-1.20389694537109,-1.20389694537109,-1.20389694537109,0
2,-4.15720955503485,-4.15720955503485,-1.5168155465104,0
3,-4.24581024258334,-4.24581024258334,-2.81166831317336,0
4,-1.94572897709976,-1.94572897709976,-1.94572897709976,0
5,-6.11550323990292,-6.11550323990292,-0.75626888320163,0
6,-6.45007144008952,-6.45007144008952,-0.673518196626058,0
7,0,0,0,0
8,-3.52120300029444,-3.52120300029444,-2.06163155819468,0
9,-1.82469863175173,-1.82469863175173,-1.82469863175173,0
10,-4.2439279673736,-4.2439279673736,-4.2439279673736,0
11,-2.47295132293477,-2.47295132293477,-2.22100170626947,0
12,-6.71538070575497,-6.71538070575497,-0.215651565277193,0
13,-5.54370534637458,-5.54370534637458,-0.9888893746865,0
14,0,0,0,0
15,0,0,0,0
16,-6.23681829680692,-5.92602730843043,-0.604527144152954,0
17,-6.232506445291,-6.232506445291,-0.867698844721147,0
18,-4.71485857851348,-4.71485857851348,-4.1873818730041,0
19,-6.5475137029374,-6.5475137029374,-0.411595778933091,0
20,-1.44819824751854,-1.44819824751854,-1.44819824751854,0
21,-6.44558477651632,-6.44558477651632,-0.57312651624061,0
22,-5.82202075834716,-5.82202075834716,-1.21591815213259,0
23,-6.684466988661,-6.684466988661,-0.317876930385767,0
24,-4.65727959456492,-4.65727959456492,-4.65727959456492,0
25,-2.84472441975701,-2.84472441975701,-2.84472441975701,0
26,-6.08741082554685,-6.08741082554685,-0.827918848367276,0
27,-5.28273378035284,-5.28273378035284,-2.10250549289355,0
28,-1.38391435237558,-1.38391435237558,-1.38391435237558,0
29,-3.85635479031382,-3.85635479031382,-2.87953060690546,0
30,-6.64436592601711,-6.64436592601711,-0.262514379676128,0
31,-4.04168979529674,-4.04168979529674,-2.45945414370291,0
32,0,0,0,0
33,-6.52074654153296,-6.52074654153296,-0.497503119781226,0
34,-4.77282367101512,-4.77282367101512,-1.23490476214479,0
35,-1.13815406207618,-1.13815406207618,-1.13815406207618,0
36,-5.20040565578061,-5.20040565578061,-1.63879541556839,0
37,-2.58882343988641,-2.58882343988641,-2.58882343988641,0
38,-6.53140049380265,-6.53140049380265,-0.627497654112213,0
39,-6.64292613609102,-6.64292613609102,-0.322052337771816,0
40,-6.69853924278829,-6.69853924278829,-0.233442756231364,0
41,0,0,0,0
42,-1.37770826568719,-1.37770826568719,-1.37770826568719,0
43,-5.59557025547073,-5.59557025547073,-1.12408963673106,0
44,-6.67546847487861,-4.74668896582827,-0.239343931375119,0
45,-4.70140967303415,-4.70140967303415,-4.70140967303415,0
46,-6.24957557250489,-6.24957557250489,-0.827112907640294,0
47,-4.31670988893524,-4.31670988893524,-1.34085085470518,0
48,-4.60504783890218,-4.60504783890218,-1.78833697098502,0
49,-5.50327863746747,-5.50327863746747,-1.79290277414984,0
50,-5.52263970370989,-5.52263970370989,-0.953605744886693,0
51,-6.60037108136347,-4.67402169990265,-0.386346885431906,0
52,-6.55051189771322,-6.55051189771322,-0.577482363334089,0
53,-6.51576320727736,-6.51576320727736,-0.560795287622572,0
54,-4.47407993209665,-4.47407993209665,-4.47407993209665,0
55,-0.108037736775562,-0.108037736775562,-0.108037736775562,0
56,-0.400563359119705,-0.400563359119705,-0.400563359119705,0
57,-4.27493567417415,-4.27493567417415,-1.84702577154175,0
58,-4.75337888586629,-4.75337888586629,-3.77674298544727,0
59,-4.20520649207918,-4.20520649207918,-1.5642449838452,0
60,-4.36755642683956,-4.36755642683956,-4.36755642683956,0
61,-4.68104836872835,-4.68104836872835,-4.68104836872835,0
62,-5.88243353775888,-5.88243353775888,-1.28586325524232,0
63,-6.51300948337288,-6.51300948337288,-0.458973521103962,0
64,-2.22368591693277,-2.22368591693277,-2.11992369810575,0
65,-3.59476724285084,-3.59476724285084,-3.59476724285084,0
66,-6.60648955763111,-6.60648955763111,-0.386255161889654,0
67,-4.57463015906041,-4.57463015906041,-4.50123324011824,0
68,-3.59375780922613,-3.59375780922613,-3.59375780922613,0
69,-1.30386790018807,-1.30386790018807,-1.30386790018807,0
70,-4.88847449513061,-4.88847449513061,-2.1568030741638,0
71,-6.13408871704755,-6.13408871704755,-0.739641667604206,0
