"Run.ID","P0.Regret.GS","P1.Regret.GS","P2.Regret.GS","P3.Regret.GS"
451,0.028502320245015,0.0299994674909951,0.0219065743124245,0
452,0.0138602261400098,0.0145662821584705,0.020695496510621,0
453,0.0102283956669978,0.0117555441389698,0.0175105089847927,0
454,0.00134394225519659,0.00344089065853578,0.0159011713812459,0
455,0.0271744296007877,0.0289486560880529,0.0217723028933503,0
456,0.0105508291293175,0.0118857075470533,0.0213633893788383,0
457,0.019188483223133,0.0211584627932806,0.0222371414164361,0
458,0.018835934516671,0.0241333720168438,0.0158307677903266,0
459,0.0206643137850404,0.0217234245801439,0.01844841224769,0
460,0.0226194418544912,0.0238862593930576,0.018738409315273,0
461,0.0263489152791237,0.0305577698518545,0.0174596926339412,0
462,0.0146350923808812,0.0162850586204262,0.016835075499651,0
463,0.0305542356110916,0.0331983329128909,0.0215318098596006,0
464,0.0119114455339602,0.0134457446319732,0.0187764015000734,0
465,0.00919398935241023,0.0101060825678195,0.0184970621293888,0
466,0.034177110991498,0.0267415031062532,0.0180724682502981,0
467,0.0357749142122131,0.0227165573007819,0.0170543277804075,0
468,0.0178737614535786,0.0194438629121605,0.0225467543028621,0
469,0.0143002208099419,0.0149197788639153,0.0186281447523007,0
470,0.0283477037929278,0.0210858397285548,0.0155658179610219,0
471,0.0184043276059555,0.0202261108622765,0.015922318838414,0
472,0.0235086317942248,0.0295430921697713,0.0175357129001013,0
473,0.0105906297991831,0.0116374920362095,0.0172577194300357,0
474,0.00240907824068989,0.00329750890788216,0.00932061865689535,0
475,0.0200161886689572,0.0213943198419225,0.0180705132676937,0
476,0.00396209762379327,0.00474892821923885,0.00916397038344335,0
477,0.011262276613502,0.0131478889700788,0.016715459284569,0
478,0.0186268774143802,0.0206096687794827,0.0164100570930802,0
479,0.0192589892955762,0.0206305556289018,0.0231331306120524,0
480,0.0162340143634952,0.0192604406905966,0.0176933694132547,0
481,0.0220921392576458,0.0230121319760547,0.0221509436836516,0
482,0.015039780334668,0.0166984034145842,0.0161757490929292,0
483,0,0.00104317599790487,0.00863291527389904,0.00400387812745132
484,0.0156488884109549,0.0170304555837521,0.019960232242642,0
485,0.0124234559753842,0.013629415089586,0.0224882109705659,0
486,0,0.000840764785404027,0.00570178829154291,0.00334744036415303
487,0.0176834792319681,0.0185143980502727,0.0208941583119829,0
488,0.0228610006143,0.0251719152655421,0.0180183897344118,0
489,0.00368667594148641,0.00463324609584119,0.00962559437182171,0
490,0.0206678866247841,0.0221201351725387,0.0216528106649589,0
491,0.0288010096735774,0.0203397569695577,0.0150725466337381,0
492,0.0114099391788351,0.0122606603287176,0.0187396826929353,0
493,0.0141170891955976,0.015821197623685,0.0190393229811231,0
494,0.00925946344484899,0.010521236597465,0.0239984311372236,0
495,0.0243123166567981,0.0257254297079308,0.0157293101029062,0
496,0.0294944976335986,0.0195299946420179,0.0151650341293073,0
497,0.0201188376235314,0.0218929135645655,0.0174702561699105,0
498,0.0333670565784667,0.021290434803748,0.0162188529876788,0
499,0.0195901771970733,0.0207670902933924,0.0171119665779114,0
500,0.0204180310300785,0.021627646305048,0.0219220632941685,0
501,0.000997712118557467,0.00183690193143229,0.00627351374413503,0
502,0.0217882710653226,0.0244452232620379,0.0185962283516871,0
503,0.00594069239769125,0.00654304430110753,0.00960616917560998,0
504,0.0133790917773891,0.0140740014291195,0.0183800390252073,0
505,0.00279549030813165,0.00376385890752394,0.0125926873489795,0
506,0.0193307536546654,0.019879705898208,0.0217257301501217,0
507,0.0327505836144972,0.0249496880518006,0.0176491813525796,0
508,0.0255944641433644,0.0285098786182599,0.0202694716671983,0
509,0.0303292591167102,0.0226085429059429,0.0159051347216088,0
510,0.00996503157910405,0.0114928076627941,0.0202996156046196,0
511,0.0137617113024864,0.0143738090681476,0.0188161067972698,0
512,0.00986109993375833,0.0105386046742899,0.0143085811482543,0
513,0.00251423184954947,0.00385365772078863,0.0156288954747538,0
514,0.00113537863964029,0.00230409837653838,0.0177972288691276,0
515,0.0182205218841124,0.0195194854938165,0.0210011948188801,0
516,0.0151768206242441,0.0163829114798423,0.0203814652202318,0
517,0.0168647912920823,0.0199657386314869,0.0166636180750523,0
518,0.00205975703985985,0.00345990113704415,0.0177482749925183,0
519,0.00558387479554935,0.00630735227861613,0.0101503984284754,0
520,0.0261035331616181,0.0289686189840336,0.0222236382048172,0
521,0.0107925562140465,0.0120268859580692,0.01924505113803,0
522,0.0169593683282869,0.0185572870958044,0.0220966877831815,0
523,0.0120560290251905,0.01387361466432,0.0225332180637888,0
524,0,0.00096483485336215,0.00894590189194761,0.00846192760840813
525,0.00116643787970651,0.00364810701083763,0.0159966151777522,0
526,0.0214165987521005,0.0223539833717557,0.0200479185378026,0
527,0.0128806659171077,0.0132941821253122,0.0153724141413927,0
528,0,0.00123213161310107,0.0118605979655721,0.00373483303276047
529,0.0212893742910617,0.0224368958872428,0.0243479341438889,0
530,0,0.00103541715142978,0.0178702371024171,0.000213371403806395
531,0.013578986290274,0.0148490996857562,0.020110146637328,0
532,0.00241392986150207,0.003561868276429,0.0111705835381987,0
533,0.0283841817342528,0.0265761957382916,0.0191179114940974,0
534,0.028282519676745,0.0355738728265014,0.0158693108904738,0
535,0.00299428798593314,0.0042805577703226,0.0214301668042432,0
536,0.0134922270928151,0.0147754302053052,0.0234641220630956,0
537,0.0192822695579568,0.0204632879348089,0.0203113232019519,0
538,0.00713701613800372,0.00806601713075977,0.0139676481429082,0
539,0.0259999355556309,0.0274180695870384,0.0222260646049801,0
540,0.0369098686301579,0.0361309691466758,0.0223281288645649,0
541,0.00505218988593355,0.00607483630653203,0.0162795047098608,0
542,0,0.00123429489677588,0.0114370668816785,0.0047666594936897
543,0.017153701895179,0.0190513577480357,0.0190867883027878,0
544,0.000949387305743128,0.00171664090531714,0.00642393407174846,0
545,0.00900488887532469,0.0106089996626196,0.0164732643724907,0
546,0.0206416567252116,0.0220417263717734,0.018936096622391,0
547,0.0229806322567974,0.0266434602712111,0.015560446247683,0
548,0.00338166850934951,0.00415642695030852,0.00838906808273367,0
549,0.00950088200112014,0.0110843128215992,0.0167229187545422,0
550,0.0329310025956989,0.036342971246346,0.0215588954543137,0
551,0,0.000842976248987243,0.0057446203650206,0.000197737546969175
552,0.0175505525932894,0.0211580867476084,0.0160768398090184,0
553,0.0192884412408257,0.0203494764997468,0.0203144679547576,0
554,0.0211465531918229,0.0345228855143663,0.0158847415363801,0
555,0.0221175680229954,0.024203120349616,0.0171485078999811,0
556,0.0234664437710236,0.0232021978147944,0.0167537019786596,0
557,0.0418399976833786,0.0255995025998875,0.0185790573515176,0
