"GRAPROES_NUM","PER_VPH_INTER"
9.76,"61.9048%"
9.94,"92.8571%"
8.42,"70.5882%"
11.08,"94.1176%"
10.19,"76.9231%"
10.18,"75.0000%"
11.33,"93.3333%"
9.5,"80.0000%"
12.44,"100.0000%"
9.79,"100.0000%"
8.85,"76.9231%"
12.92,"100.0000%"
8.91,"90.0000%"
11.79,"61.5385%"
7,"60.0000%"
10.05,"77.7778%"
9.31,"58.3333%"
11.58,"87.5000%"
13.53,"69.2308%"
9.16,"75.0000%"
11.33,"81.8182%"
9.5,"75.0000%"
9.45,"71.4286%"
9.23,"71.4286%"
8.94,"50.0000%"
9.6,"84.6154%"
9.8,"73.5294%"
12.56,"80.0000%"
10.33,"60.0000%"
9.78,"80.0000%"
9.13,"46.1538%"
9.81,"70.8333%"
11.59,"72.7273%"
12.86,"100.0000%"
12.6,"100.0000%"
11.69,"83.3333%"
7.28,"69.2308%"
8.38,"72.7273%"
8.55,"90.9091%"
8.14,"64.7059%"
8.05,"62.8571%"
9.15,"75.0000%"
7.98,"76.4706%"
9.19,"100.0000%"
8.79,"100.0000%"
8,"75.0000%"
9.23,"100.0000%"
8.55,"42.8571%"
7.57,"0.0000%"
12.82,"100.0000%"
13,"100.0000%"
9.48,"37.5000%"
10.62,"81.8182%"
12.53,"100.0000%"
10.28,"58.3333%"
9.79,"75.0000%"
7.92,"41.6667%"
8.23,"54.5455%"
6.71,"46.1538%"
8.75,"63.1579%"
8.31,"58.3333%"
12.2,"75.0000%"
9.88,"100.0000%"
6.57,"94.1176%"
8.22,"62.5000%"
7.64,"54.5455%"
7.26,"59.0909%"
9.3,"81.2500%"
7.43,"87.5000%"
8.67,"72.2222%"
6.91,"68.4211%"
8.42,"38.8889%"
7.18,"66.6667%"
7.51,"61.9048%"
7.11,"20.0000%"
8.38,"57.1429%"
8.14,"63.6364%"
6.71,"50.0000%"
7.55,"50.0000%"
9.41,"90.0000%"
10.96,"36.3636%"
7.68,"46.6667%"
8.72,"37.5000%"
6.82,"16.6667%"
7.57,"42.8571%"
8.64,"57.1429%"
6.2,"42.1053%"
6,"0.0000%"
6.97,"25.0000%"
7.79,"38.8889%"
8.76,"50.0000%"
7.73,"55.5556%"
7.12,"30.7692%"
8.49,"88.2353%"
8.1,"85.7143%"
8.69,"46.6667%"
8.91,"84.2105%"
8.74,"56.5217%"
8.52,"55.5556%"
8.1,"50.0000%"
6.95,"54.1667%"
7.62,"61.2903%"
7.68,"58.8235%"
7.88,"36.3636%"
8.4,"51.8519%"
6.75,"61.5385%"
8.09,"31.5789%"
8.3,"63.6364%"
5.96,"51.5152%"
8.43,"59.0909%"
8.53,"51.7241%"
8.02,"51.3514%"
6.3,"50.0000%"
7.74,"44.4444%"
8.76,"71.4286%"
7.28,"61.5385%"
5.7,"50.0000%"
7.58,"75.0000%"
8.49,"47.6190%"
8.91,"55.1724%"
7.01,"72.7273%"
7.96,"46.6667%"
8.18,"77.7778%"
9.12,"81.2500%"
7.21,"52.3810%"
7.03,"53.8462%"
7.56,"50.0000%"
9.07,"75.0000%"
6.66,"66.6667%"
7.75,"61.9048%"
7.81,"56.5217%"
9.19,"68.5714%"
7.75,"51.8519%"
8.99,"56.7568%"
7.81,"68.1818%"
8.97,"80.0000%"
7.63,"44.4444%"
7.19,"55.5556%"
7.35,"62.5000%"
8.33,"60.7143%"
6.27,"66.6667%"
7.58,"64.2857%"
8.31,"55.3846%"
8.88,"68.4211%"
6.22,"33.3333%"
10.1,"47.3684%"
6.9,"66.6667%"
9.18,"56.2500%"
8.16,"58.3333%"
8.74,"55.1724%"
7.85,"66.6667%"
9.68,"90.9091%"
8.79,"58.0645%"
9.12,"71.4286%"
8.76,"74.1935%"
9.03,"80.0000%"
8.88,"54.8387%"
8.15,"72.2222%"
9,"50.0000%"
9.24,"46.8750%"
9.22,"64.2857%"
8.86,"75.0000%"
9.97,"59.0164%"
9.73,"68.0851%"
9.5,"73.6842%"
10.47,"78.5714%"
11.28,"58.3333%"
8.46,"46.1538%"
7.92,"60.0000%"
9.42,"63.6364%"
9.68,"77.7778%"
9.82,"66.6667%"
9.48,"61.1111%"
8.19,"57.1429%"
9.99,"76.9231%"
10.53,"87.5000%"
7.92,"0.0000%"
8.81,"77.7778%"
7.81,"44.4444%"
10.02,"77.2727%"
8.16,"88.8889%"
7.12,"33.3333%"
10.56,"82.3529%"
7.32,"50.0000%"
7.57,"55.5556%"
8.18,"30.0000%"
6.42,"26.6667%"
10.27,"60.0000%"
11.2,"77.7778%"
9.45,"75.0000%"
8.6,"31.2500%"
8.98,"54.5455%"
8.67,"60.0000%"
9.97,"71.4286%"
11.88,"78.5714%"
8.43,"40.0000%"
9.72,"52.3810%"
7.73,"0.0000%"
6,"0.0000%"
11.26,"66.6667%"
12.18,"57.1429%"
8.39,"63.6364%"
10.26,"88.8889%"
9.13,"60.0000%"
11.21,"80.0000%"
9.72,"76.4706%"
8.97,"41.6667%"
9.33,"66.6667%"
6.71,"0.0000%"
8.43,"33.3333%"
7.62,"45.4545%"
7.23,"17.6471%"
6.8,"20.0000%"
8.83,"45.4545%"
8.33,"73.3333%"
8.89,"35.2941%"
7.81,"50.0000%"
10.85,"100.0000%"
11.16,"85.7143%"
8.88,"90.9091%"
11.45,"85.7143%"
8.87,"60.0000%"
8.45,"50.0000%"
12.09,"90.0000%"
8.24,"75.0000%"
7.9,"58.8235%"
8.05,"28.1250%"
10.05,"87.5000%"
9.91,"53.3333%"
10.21,"62.5000%"
7.78,"23.0769%"
13.08,"75.0000%"
10.72,"88.0000%"
11.03,"57.1429%"
8.9,"75.0000%"
12.54,"76.9231%"
10.05,"75.0000%"
9.37,"84.6154%"
10.71,"80.0000%"
9.79,"79.1667%"
10.28,"69.0476%"
9.23,"92.3077%"
8.96,"58.8235%"
9.33,"76.3158%"
10.5,"44.4444%"
9.96,"93.3333%"
10.98,"82.3529%"
9.26,"42.8571%"
9.32,"83.3333%"
12.75,"80.0000%"
14.6,"100.0000%"
12.23,"66.6667%"
11.57,"85.7143%"
11.45,"66.6667%"
14.33,"66.6667%"
11.4,"100.0000%"
7.92,"75.0000%"
8.63,"0.0000%"
13.41,"100.0000%"
13.65,"100.0000%"
12.61,"91.8919%"
11.66,"93.3333%"
12.04,"80.0000%"
12.84,"92.8571%"
11.2,"80.0000%"
13.33,"100.0000%"
14.38,"100.0000%"
13,"85.7143%"
9.97,"70.3704%"
9.61,"66.6667%"
9.41,"67.7419%"
10.06,"68.5714%"
9.94,"80.0000%"
11.64,"70.0000%"
11.14,"80.0000%"
9.93,"61.8182%"
9.67,"60.0000%"
9.53,"70.5882%"
10.05,"48.7805%"
10.53,"65.1163%"
10.2,"83.3333%"
8.42,"50.0000%"
9.25,"80.0000%"
9.44,"75.0000%"
10.33,"55.5556%"
14.94,"100.0000%"
13.13,"100.0000%"
13.73,"100.0000%"
11.5,"100.0000%"
9.59,"50.0000%"
10.13,"71.4286%"
11.36,"50.0000%"
11,"100.0000%"
11.67,"61.5385%"
11.32,"63.6364%"
8.2,"66.6667%"
11.23,"62.5000%"
10.64,"75.0000%"
10.8,"57.1429%"
9.68,"60.0000%"
7.47,"37.5000%"
9.39,"58.3333%"
9.96,"30.0000%"
10.83,"57.8947%"
10.89,"58.8235%"
12.25,"87.5000%"
9.93,"60.0000%"
9.48,"63.6364%"
9,"62.5000%"
9.04,"45.4545%"
11.38,"71.4286%"
11,"72.7273%"
9.33,"50.0000%"
11.13,"60.0000%"
10.29,"66.6667%"
10.32,"66.6667%"
6.67,"0.0000%"
8.86,"23.0769%"
9.24,"44.4444%"
13.16,"66.6667%"
11,"62.5000%"
10.91,"66.6667%"
13.56,"50.0000%"
11.82,"75.0000%"
9.74,"60.0000%"
8.73,"63.6364%"
11.53,"76.9231%"
12.53,"57.1429%"
10.42,"42.8571%"
11.83,"66.6667%"
10.5,"100.0000%"
10.33,"62.5000%"
11.33,"50.0000%"
9.44,"100.0000%"
10.71,"61.1111%"
12.93,"100.0000%"
11.95,"83.3333%"
10.05,"62.5000%"
13,"66.6667%"
13.4,"72.7273%"
11.26,"50.0000%"
